Item Name,Bazaar Buy Price,Bazaar Sell Price,NPC Cost,Crafting Cost
INK_SACK:3,4.5,2.7,0,0
CORRUPTED_BAIT,5.2,0.8,0,0
INK_SACK:4,6.7,3.1,0,0
ENCHANTMENT_ULTIMATE_NO_PAIN_NO_GAIN_2,0.3,0,0,0
TARANTULA_WEB,530.4,487.1,0,0
ENCHANTMENT_ULTIMATE_NO_PAIN_NO_GAIN_1,33.7,0,0,0
DUNGEON_TRAP,0.3,0.1,0,0
DARK_ORB,207707.2,163314.3,0,0
ARCHITECT_FIRST_DRAFT,66318.9,45290.4,0,0
ENCHANTMENT_PROTECTION_7,45871635,41555111.6,0,0
ENCHANTMENT_PROTECTION_6,4350999.8,3876833.6,0,0
ESSENCE_DRAGON,3038.4,2942.1,0,0
RITUAL_RESIDUE,1983016.5,1821722.3,0,0
ENCHANTMENT_PROTECTION_1,0,0,0,0
GIANT_FRAGMENT_LASER,698929.5,660200.2,0,0
ENCHANTMENT_PROTECTION_5,0,0,0,0
ENCHANTED_MELON,316.9,313,0,0
ENCHANTMENT_PROTECTION_4,0,0,0,0
ENCHANTMENT_PROTECTION_3,0,0,0,0
ENCHANTMENT_PROTECTION_2,0,0,0,0
ENCHANTMENT_TURBO_COCO_1,26660,11920.4,0,0
ENCHANTMENT_TURBO_COCO_5,999998.9,452649.3,0,0
ENCHANTMENT_TURBO_COCO_4,618998.1,89851.7,0,0
ENCHANTMENT_TURBO_COCO_3,264384.2,45600.6,0,0
ENCHANTED_BLAZE_ROD,598324.8,579406.1,0,0
ENCHANTMENT_TURBO_COCO_2,76606.9,13926.2,0,0
ENCHANTED_BROWN_MUSHROOM,1609.4,1533.9,0,0
FRESHLY_MINTED_COINS,5499999.6,4780536.8,0,0
GOBLIN_EGG_YELLOW,5699.6,4567.3,0,0
PARTY_GIFT,283218.3,255802.4,0,0
ENCHANTED_GLISTERING_MELON,13686.1,4331.7,0,0
ENCHANTMENT_CORRUPTION_5,257666.8,15001.3,0,0
ENCHANTMENT_CORRUPTION_4,82012.4,0.6,0,0
PROTECTOR_FRAGMENT,8224.3,6934.1,0,0
ENCHANTMENT_CORRUPTION_3,72898,0,0,0
ENCHANTMENT_CORRUPTION_2,0,0,0,0
ENCHANTMENT_CORRUPTION_1,3.2,1.6,0,0
ROCK_GEMSTONE,2585520.3,1716902.6,0,0
ENCHANTED_MELON_BLOCK,50811.8,49906.5,0,0
CONDENSED_FERMENTO,2399486.3,2224585,0,0
BEADY_EYES,49.5,0,0,0
DIAMOND,7.4,6.2,0,0
COBBLESTONE,7,3.3,0,0
ENCHANTED_PUFFERFISH,2390.2,2311.9,0,0
PERFECT_RUBY_GEM,22499995.8,9005000.4,0,0
MINION_EXPANDER,91998.3,65511.8,0,0
END_STONE_SHULKER,18281.1,2823.2,0,0
ENCHANTMENT_CAYENNE_5,15499997.8,12157142.6,0,0
ENCHANTED_HARD_STONE,3684.2,2714.2,0,0
ENCHANTMENT_CAYENNE_4,8819188.3,4001000.1,0,0
ENDER_MONOCLE,9099.9,2004.1,0,0
WINTER_FRAGMENT,1148997.3,695653.8,0,0
KELVIN_INVERTER,103154.8,80473.5,0,0
REFINED_DIAMOND,758379.4,710005.2,0,0
HAZMAT_ENDERMAN,5199,778.4,0,0
FLAWED_OPAL_GEM,3326.1,478.9,0,0
LUXURIOUS_SPOOL,584.6,0.7,0,0
ENCHANTMENT_CAYENNE_3,0,0,0,0
PORK,53,38.4,0,0
ENCHANTMENT_CAYENNE_2,0,0,0,0
ENCHANTMENT_CAYENNE_1,0,0,0,0
ENCHANTMENT_ENDER_SLAYER_1,0,0,0,0
HONEY_JAR,1661.9,447.7,0,0
PET_CAKE,31379.3,12043.1,0,0
ULTIMATE_CARROT_CANDY,2813861.7,2670000.1,0,0
SOLAR_PANEL,520493.9,345000.5,0,0
ENCHANTMENT_FIRE_ASPECT_1,0,0,0,0
LOG_2:1,3.9,1.7,0,0
ENCHANTMENT_TURBO_CACTUS_5,639997.1,400000.6,0,0
UNDEAD_CATALYST,2895.7,1710,0,0
ENCHANTED_SNOW_BLOCK,583.2,577.8,0,0
ENCHANTMENT_TURBO_CACTUS_4,540999.6,10000.3,0,0
ENCHANTMENT_TURBO_CACTUS_3,270497.6,18276.1,0,0
ENCHANTMENT_TURBO_CACTUS_2,81216.8,2000.9,0,0
ENCHANTMENT_FIRE_ASPECT_2,0,0,0,0
ENCHANTMENT_FIRE_ASPECT_3,462015.6,279663.8,0,0
ENCHANTMENT_TURBO_CACTUS_1,29100,12001.7,0,0
ENCHANTMENT_ENDER_SLAYER_5,0,0,0,0
ENCHANTMENT_ENDER_SLAYER_4,0,0,0,0
ENCHANTMENT_ENDER_SLAYER_3,0,0,0,0
ENCHANTMENT_ENDER_SLAYER_2,0,0,0,0
ENCHANTMENT_ENDER_SLAYER_7,120999991.4,108650005.2,0,0
ENCHANTMENT_ENDER_SLAYER_6,1614480.2,1268226.5,0,0
ENCHANTMENT_SHARPNESS_1,0,0,0,0
DUNGEON_DECOY,47.7,2.4,0,0
REFINED_TUNGSTEN,2840714.5,2611050.4,0,0
ENCHANTMENT_SHARPNESS_5,0,0,0,0
JERRY_BOX_GOLDEN,1154234.5,1026475,0,0
ENCHANTMENT_SHARPNESS_4,0,0,0,0
ENCHANTMENT_SHARPNESS_3,0,0,0,0
ENCHANTMENT_SHARPNESS_2,0,0,0,0
ENCHANTMENT_BIG_BRAIN_4,73000000,525010.1,0,0
ENCHANTMENT_BIG_BRAIN_5,137999996.1,89550000.2,0,0
ENCHANTMENT_BIG_BRAIN_3,31631719.7,27555111.2,0,0
ENCHANTED_CARROT_ON_A_STICK,0,0,0,0
ENCHANTMENT_THUNDERLORD_7,7208017.5,6489996.4,0,0
ENCHANTMENT_THUNDERLORD_6,6389.1,1.1,0,0
ENCHANTMENT_TURBO_MELON_5,955994.6,560000.6,0,0
FLY_SWATTER,588309.2,506000.5,0,0
DERELICT_ASHE,793.6,591.2,0,0
ENCHANTMENT_THUNDERLORD_3,0,0,0,0
ENCHANTMENT_THUNDERLORD_2,0,0,0,0
ENCHANTMENT_SHARPNESS_7,114769996.6,101000007.5,0,0
ENCHANTMENT_THUNDERLORD_5,0,0,0,0
ENCHANTMENT_SHARPNESS_6,2049999.5,1800012.9,0,0
ENCHANTMENT_THUNDERLORD_4,0,0,0,0
ENCHANTED_ACACIA_LOG,2399.6,2238.5,0,0
ENCHANTMENT_MANA_STEAL_1,19979.8,10629.1,0,0
ENCHANTMENT_MANA_STEAL_2,99999.2,20000.1,0,0
ENCHANTMENT_THUNDERLORD_1,0,0,0,0
ENCHANTMENT_MANA_STEAL_3,135984.9,44803.8,0,0
SAND,14,7.9,0,0
PLASMA_BUCKET,15599999.7,15158372.9,0,0
ENCHANTMENT_TURBO_MELON_3,403560.1,86678.9,0,0
ANCIENT_CLAW,199.8,147.8,0,0
ENCHANTMENT_STRONG_MANA_7,16201493.8,40001.2,0,0
ENCHANTMENT_TURBO_MELON_4,791645.9,5000.3,0,0
ENCHANTED_GHAST_TEAR,713.7,546,0,0
ENCHANTMENT_STRONG_MANA_6,6799995.2,696255.5,0,0
ENCHANTMENT_STRONG_MANA_5,3163175,2687881.6,0,0
ENCHANTMENT_TURBO_MELON_1,45065.4,24044.3,0,0
ENCHANTED_COCOA,617,582.5,0,0
ENCHANTMENT_TURBO_MELON_2,196997.2,15051,0,0
ENCHANTMENT_STRONG_MANA_4,1570165.8,1238540.8,0,0
ENCHANTMENT_STRONG_MANA_3,780316.5,615229.1,0,0
AMBER_MATERIAL,3503542.5,2168075.7,0,0
ENCHANTMENT_STRONG_MANA_2,328903.4,45001.3,0,0
ENCHANTMENT_STRONG_MANA_1,225428,140004.9,0,0
CARROT_BAIT,99.8,55.7,0,0
FINE_TOPAZ_GEM,25008.7,23151.7,0,0
FINE_RUBY_GEM,19122.4,18433,0,0
HYPERGOLIC_IONIZED_CERAMICS,3561.4,2250.5,0,0
HAY_BLOCK,59.9,50.1,0,0
ENCHANTED_ROTTEN_FLESH,825.8,755.5,0,0
ENCHANTED_GRILLED_PORK,131141.7,128238.1,0,0
WISHING_COMPASS,3,0.2,0,0
ENCHANTED_ANCIENT_CLAW,2803.8,1050.2,0,0
ENCHANTMENT_HARDENED_MANA_1,39998.7,26001.7,0,0
FULL_CHUM_BUCKET,14953.5,12000,0,0
ENCHANTMENT_HARDENED_MANA_3,136994.9,75001.6,0,0
OVERGROWN_GRASS,44403422.6,42119579.2,0,0
PUMPKIN_BOMB,7823.7,5854.3,0,0
ENCHANTMENT_HARDENED_MANA_2,74059.6,13627.4,0,0
ENCHANTMENT_ULTIMATE_COMBO_1,229.9,0.1,0,0
SOULFLOW_ENGINE,34997999.5,24244062.8,0,0
ENCHANTMENT_ULTIMATE_COMBO_2,998.7,0.7,0,0
ENCHANTMENT_ULTIMATE_COMBO_5,90409.4,8418,0,0
PET_ITEM_TOY_JERRY,49478.7,8218.9,0,0
ENCHANTMENT_ULTIMATE_COMBO_3,49997.1,10.2,0,0
ENCHANTED_LAVA_BUCKET,162034.9,153713.3,0,0
ENCHANTMENT_ULTIMATE_COMBO_4,49999.8,1204.4,0,0
BUBBA_BLISTER,518097.5,412000.3,0,0
RAW_FISH:3,14.1,10.3,0,0
ENCHANTED_UMBER,14559.8,12876.5,0,0
ENCHANTMENT_STRONG_MANA_9,58000000,75001,0,0
ENCHANTMENT_STRONG_MANA_8,28999998.6,800017.1,0,0
ROUGH_AQUAMARINE_GEM,8.7,3.7,0,0
DIAMOND_ATOM,7749.9,205.8,0,0
RAW_FISH:2,21,13.1,0,0
RAW_FISH:1,9.9,6.8,0,0
PRECURSOR_GEAR,510366.8,442413.8,0,0
GOBLIN_EGG_RED,8882.3,7842.1,0,0
ENCHANTMENT_TURBO_WARTS_1,2874.6,1,0,0
ENCHANTMENT_TURBO_WARTS_2,44999.1,0,0,0
ENCHANTMENT_TURBO_WARTS_3,57499.1,2.3,0,0
ENCHANTMENT_TURBO_WARTS_4,81000.8,20.6,0,0
ENCHANTMENT_TURBO_WARTS_5,89999.9,31000,0,0
WHALE_BAIT,3224.9,2335.5,0,0
SPONGE,91.4,25.1,0,0
ENCHANTED_DARK_OAK_LOG,878.9,767.8,0,0
FLAWLESS_TOPAZ_GEM,1995324,1912933.5,0,0
ENCHANTMENT_HARDENED_MANA_5,607174.9,420003.9,0,0
ENCHANTMENT_HARDENED_MANA_4,252248.8,170001.6,0,0
CAPSAICIN_EYEDROPS_NO_CHARGES,1580679.8,1314003.8,0,0
ENCHANTMENT_HARDENED_MANA_7,4699998.7,1500000,0,0
ENCHANTMENT_HARDENED_MANA_6,1999994.3,400002.5,0,0
ENCHANTMENT_HARDENED_MANA_9,11999999.8,2000000.7,0,0
ENCHANTMENT_ULTIMATE_NO_PAIN_NO_GAIN_4,40500,1,0,0
ENCHANTMENT_ULTIMATE_NO_PAIN_NO_GAIN_3,40499.5,2.1,0,0
ENCHANTMENT_HARDENED_MANA_8,11989995.9,600007.9,0,0
ENCHANTMENT_ULTIMATE_NO_PAIN_NO_GAIN_5,171497.1,6000.1,0,0
ENCHANTED_RAW_CHICKEN,744,630.4,0,0
ENCHANTED_WATER_LILY,1605.4,1363.5,0,0
RED_SCARF,559045.6,500001,0,0
LOG:1,13.5,6.1,0,0
TITANIUM_ORE,187.8,87.3,0,0
BLUE_SHARK_TOOTH,79996.3,65282.7,0,0
ROBOTRON_REFLECTOR,207872,188800.1,0,0
CHILI_PEPPER,10495.3,7640.2,0,0
LOG:3,13.5,5.7,0,0
LOG:2,3.9,1.4,0,0
SIL_EX,15824356.3,14243618.6,0,0
ENCHANTED_CACTUS,128473.5,123958.1,0,0
SALT_CUBE,775.9,10.1,0,0
ONYX,1399.9,1,0,0
ENCHANTED_SULPHUR,1626.6,1581.2,0,0
ENCHANTED_COOKED_SALMON,255999.7,250395.6,0,0
ENCHANTED_SEEDS,495.6,465.7,0,0
ENCHANTED_BONE_MEAL,19.4,2.5,0,0
ENCHANTMENT_EXPERIENCE_5,23999980.4,15944000.4,0,0
ENCHANTED_BONE_BLOCK,60000,50007.9,0,0
OMEGA_EGG,669999.5,355000.3,0,0
SMALL_ENCHANTED_CHEST,679.9,84.5,0,0
PURPLE_CANDY,24809.6,24000.1,0,0
ENCHANTMENT_EXPERIENCE_2,0,0,0,0
POLISHED_PUMPKIN,256489.3,250329.2,0,0
ENCHANTMENT_EXPERIENCE_1,0,0,0,0
ENCHANTMENT_EXPERIENCE_4,499993.9,345335.1,0,0
ENCHANTMENT_EXPERIENCE_3,0,0,0,0
ENCHANTED_GOLD_BLOCK,102719.7,96331.2,0,0
FINE_OPAL_GEM,47272.2,44170.4,0,0
ENCHANTED_FLINT,5541.4,5429,0,0
SCORCHED_POWER_CRYSTAL,2000000,1676655.7,0,0
REHEATED_GUMMY_POLAR_BEAR,96989.2,60192.4,0,0
SCARF_FRAGMENT,1837.8,500.9,0,0
FURBALL,78997.7,24136.5,0,0
ESSENCE_SPIDER,923.6,871.3,0,0
ENCHANTED_CLAY_BALL,469,452.4,0,0
GLOWSTONE_DUST,26.9,8.1,0,0
FLYCATCHER_UPGRADE,26487868.8,25000001.4,0,0
PERFECT_AMETHYST_GEM,13289922,12635311.5,0,0
IMPLOSION_SCROLL,272745687.9,263472773,0,0
CROPIE,25294,24442.8,0,0
FTX_3070,197010.2,184287.9,0,0
PET_ITEM_VAMPIRE_FANG,1999.5,1.5,0,0
ENDSTONE_GEODE,1538.6,0,0,0
ENCHANTMENT_PALEONTOLOGIST_5,35999998.7,30000000,0,0
GREAT_CARROT_CANDY,218981.9,176536.8,0,0
ENCHANTMENT_MANA_VAMPIRE_10,114999998.3,20000000.4,0,0
ENCHANTED_BONE,1398.8,1267.2,0,0
LAVA_WATER_ORB,1899999.4,1700000.3,0,0
OPTICAL_LENS,4731,2.4,0,0
